"ThisYear","NumFeatures","NumAdultFeatures","numAnimated","numCrime","numFantasy","numWar","numSciFi","numWesterns","numMusic","numMusical","numHorror","numRomances"
1870,0,0,0,0,0,0,0,0,0,0,0,0
1871,0,0,0,0,0,0,0,0,0,0,0,0
1872,0,0,0,0,0,0,0,0,0,0,0,0
1873,0,0,0,0,0,0,0,0,0,0,0,0
1874,0,0,0,0,0,0,0,0,0,0,0,0
1875,0,0,0,0,0,0,0,0,0,0,0,0
1876,0,0,0,0,0,0,0,0,0,0,0,0
1877,0,0,0,0,0,0,0,0,0,0,0,0
1878,0,0,0,0,0,0,0,0,0,0,0,0
1879,0,0,0,0,0,0,0,0,0,0,0,0
1880,0,0,0,0,0,0,0,0,0,0,0,0
1881,0,0,0,0,0,0,0,0,0,0,0,0
1882,0,0,0,0,0,0,0,0,0,0,0,0
1883,0,0,0,0,0,0,0,0,0,0,0,0
1884,0,0,0,0,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0,0,0
1886,0,0,0,0,0,0,0,0,0,0,0,0
1887,0,0,0,0,0,0,0,0,0,0,0,0
1888,0,0,0,0,0,0,0,0,0,0,0,0
1889,0,0,0,0,0,0,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,0,0,0,0,0
1891,0,0,0,0,0,0,0,0,0,0,0,0
1892,0,0,0,0,0,0,0,0,0,0,0,0
1893,0,0,0,0,0,0,0,0,0,0,0,0
1894,0,0,0,0,0,0,0,0,0,0,0,0
1895,0,0,0,0,0,0,0,0,0,0,0,0
1896,0,0,0,0,0,0,0,0,0,0,0,0
1897,0,0,0,0,0,0,0,0,0,0,0,0
1898,0,0,0,0,0,0,0,0,0,0,0,0
1899,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0
1911,1,0,0,0,0,0,0,0,0,0,0,0
1912,2,0,0,0,0,0,0,0,0,0,0,1
1913,95,0,0,11,3,0,1,4,0,0,1,5
1914,139,0,0,8,2,5,0,5,0,0,4,6
1915,90,0,0,6,0,7,2,5,0,0,2,10
1916,479,0,0,27,6,9,3,27,0,0,2,42
1917,568,0,0,41,11,16,1,53,0,0,8,46
1918,532,0,0,29,6,35,3,52,0,0,4,72
1919,525,0,0,40,5,10,2,56,0,0,8,71
1920,530,0,0,40,6,4,3,37,1,1,13,45
1921,495,0,0,18,10,2,3,45,0,0,5,69
1922,498,0,0,24,4,2,1,64,0,0,4,96
1923,470,0,0,29,9,3,1,51,1,0,3,73
1924,518,0,0,24,1,3,3,79,0,0,3,66
1925,592,0,0,31,5,2,2,88,0,0,4,101
1926,611,0,0,36,5,13,0,67,1,0,5,168
1927,643,0,0,42,2,14,0,76,1,1,6,153
1928,679,0,0,43,1,20,0,72,4,0,5,156
1929,617,0,0,63,1,11,3,50,67,42,4,136
1930,792,0,0,85,9,10,1,36,145,110,3,242
1931,996,0,0,124,5,19,2,61,65,58,11,196
1932,1078,0,0,133,4,17,5,72,68,58,22,197
1933,1020,0,0,110,10,22,7,41,98,72,12,217
1934,1091,0,0,129,5,16,4,37,131,92,13,264
1935,1145,0,0,134,12,12,9,99,132,94,18,251
1936,1258,0,0,187,10,20,9,90,140,97,15,259
1937,1248,0,0,173,6,33,4,82,150,83,4,256
1938,1212,0,0,164,7,41,4,62,139,82,3,236
1939,1134,0,0,166,5,38,6,77,119,63,13,169
1940,1068,0,0,114,12,30,8,84,106,63,14,145
1941,942,0,0,100,9,39,4,103,112,65,12,139
1942,974,0,0,104,6,88,4,98,96,52,16,136
1943,931,0,0,63,8,108,4,84,125,56,18,123
1944,728,0,0,70,18,82,7,78,122,56,23,113
1945,641,0,0,78,13,56,3,67,100,42,13,83
1946,741,0,0,114,13,39,1,79,97,40,15,110
1947,807,0,0,128,12,23,2,82,75,43,5,84
1948,911,0,0,117,18,26,3,101,75,44,17,108
1949,989,0,0,142,19,25,4,106,88,57,12,107
1950,1063,0,0,171,13,26,5,111,74,53,1,86
1951,1092,0,0,143,17,50,18,99,105,79,11,127
1952,1051,0,0,112,20,30,12,99,84,59,7,118
1953,1123,0,0,131,20,44,23,80,96,73,18,125
1954,1052,0,0,118,33,35,22,62,77,50,20,108
1955,1079,0,0,137,26,34,18,64,84,61,17,120
1956,1223,0,0,134,23,36,25,68,108,75,30,143
1957,1319,0,0,182,45,46,34,71,80,61,57,126
1958,1315,0,0,166,20,67,43,55,92,72,62,153
1959,1331,0,0,146,31,67,31,43,84,72,52,160
1960,1343,0,0,206,37,59,18,49,78,67,44,143
1961,1396,0,0,159,40,69,22,47,76,60,33,140
1962,1396,0,0,142,37,54,26,51,78,62,45,121
1963,1255,0,0,146,23,48,19,33,84,69,58,107
1964,1462,2,0,160,43,60,21,66,90,73,57,152
1965,1535,3,0,142,27,53,33,77,96,76,56,153
1966,1575,2,0,191,34,53,39,93,93,72,55,158
1967,1745,3,0,227,40,59,33,71,97,71,45,163
1968,2016,13,0,206,42,77,35,74,87,73,72,182
1969,2026,18,0,242,43,66,34,52,73,52,54,181
1970,2117,100,0,184,62,63,32,60,85,53,84,176
1971,2203,208,0,203,49,53,27,82,73,47,112,170
1972,2209,138,0,228,49,39,35,79,66,45,127,156
1973,2215,171,0,235,49,40,30,51,54,32,131,129
1974,2144,163,0,214,46,38,33,29,56,37,125,169
1975,2185,257,0,182,36,45,27,39,61,30,99,128
1976,2169,289,0,203,49,42,26,24,50,28,95,137
1977,2075,243,0,156,46,29,41,13,45,26,91,126
1978,2145,279,0,132,41,29,32,16,45,18,65,120
1979,2148,215,0,146,41,41,39,19,64,31,66,131
1980,2122,200,0,129,38,37,46,11,64,36,103,95
1981,2188,260,0,124,44,39,39,9,74,44,117,136
1982,2181,195,0,125,64,34,40,9,71,35,128,114
1983,2267,239,0,124,69,47,52,7,78,37,95,142
1984,2289,287,0,130,55,33,54,4,83,31,88,131
1985,2264,311,0,142,62,52,48,8,80,35,95,146
1986,2301,227,0,164,71,46,63,7,72,29,125,146
1987,2335,183,0,176,78,51,66,8,70,40,157,140
1988,2447,187,0,167,104,49,77,5,80,37,200,166
1989,2397,219,0,184,72,45,62,3,54,15,185,134
1990,2383,205,0,199,95,33,48,7,54,24,163,141
1991,2163,61,0,150,95,32,62,6,53,22,126,130
1992,2079,55,0,156,66,22,43,8,52,16,108,169
1993,2014,41,0,194,65,31,49,5,52,18,108,165
1994,2141,51,0,175,63,27,37,7,40,12,83,164
1995,2277,58,0,172,52,29,63,12,47,17,117,167
1996,2181,42,0,163,64,26,67,4,53,16,82,168
1997,2347,42,0,144,45,28,66,3,66,20,98,185
1998,2479,14,0,185,62,24,64,7,71,17,102,217
1999,2525,25,0,156,58,24,52,3,74,22,120,232
2000,2832,22,0,224,74,26,44,5,104,38,131,264
2001,2991,8,0,199,75,22,65,7,87,29,154,281
2002,3191,13,0,177,80,29,55,7,93,31,149,311
2003,3477,17,0,177,81,41,51,9,103,30,165,275
2004,3970,17,0,179,86,59,72,6,111,27,220,288
2005,4406,14,0,165,99,45,69,13,140,39,271,298
2006,4909,18,0,186,103,58,69,14,163,42,374,300
2007,5260,31,0,263,109,88,102,16,182,45,383,343
2008,6181,23,0,273,129,77,100,17,239,63,434,358
2009,7133,19,0,326,169,71,126,18,306,74,528,418
2010,7883,22,0,341,171,84,176,22,336,90,574,484
2011,8337,24,0,370,222,88,180,30,397,78,682,470
2012,9067,18,0,407,201,72,194,35,426,82,745,492
2013,9527,24,0,446,221,69,255,28,451,80,789,591
2014,10067,15,0,464,239,116,246,39,500,95,815,658
2015,10204,13,0,453,256,102,259,32,395,80,857,597
2016,10362,22,0,513,283,92,241,28,364,95,887,580
2017,10397,21,0,434,258,95,264,38,368,96,894,489
2018,9972,15,0,374,304,78,237,41,308,78,850,513
2019,9525,8,0,360,239,64,212,26,281,73,806,428
2020,7365,6,0,267,201,66,195,20,200,52,681,323
2021,2009,1,0,93,50,11,78,12,41,14,206,65
2022,69,0,0,5,1,2,3,0,1,1,18,2
2023,0,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0
